source,destination,weight,long_hosp,lat_hosp,long_racf,lat_racf
886,306,35,144.88738,-37.792388,144.861613,-37.747734
886,241,18,144.9587474,-37.7546374,144.861613,-37.747734
886,500,1,144.95710847477,-37.7982862,144.861613,-37.747734
886,160,3,144.9562153,-37.7999274,144.861613,-37.747734
886,133,17,144.956057,-37.799269,144.861613,-37.747734
886,188,26,144.947596,-37.778987,144.861613,-37.747734
886,319,7,144.9744689,-37.8076887,144.861613,-37.747734
886,758,60,144.815846115986,-37.7594624,144.861613,-37.747734
886,811,2,145.0149132,-37.6525206,144.861613,-37.747734
886,909,1,144.885874223357,-37.79319115,144.861613,-37.747734
724,396,55,144.9789509,-37.8448389,145.063084623592,-37.8950355
724,782,1,145.119799,-37.813761,145.063084623592,-37.8950355
724,442,4,145.033675,-37.8619388,145.063084623592,-37.8950355
724,206,1,145.008873,-37.85412,145.063084623592,-37.8950355
724,492,14,145.016733,-37.8823815,145.063084623592,-37.8950355
724,742,1,145.220576,-37.977337,145.063084623592,-37.8950355
724,229,8,145.1223061,-37.9200807,145.063084623592,-37.8950355
724,188,2,144.947596,-37.778987,145.063084623592,-37.8950355
724,420,2,145.0184922,-37.9613493,145.063084623592,-37.8950355
724,997,1,144.976056240715,-37.80778615,145.063084623592,-37.8950355
933,396,1,144.9789509,-37.8448389,145.241408440012,-38.45531225
933,471,1,145.0585637,-37.7555989,145.241408440012,-38.45531225
933,782,2,145.119799,-37.813761,145.241408440012,-38.45531225
933,742,4,145.220576,-37.977337,145.241408440012,-38.45531225
933,466,3,145.1338638,-38.1536671,145.241408440012,-38.45531225
933,667,1,145.951417,-38.487597,145.241408440012,-38.45531225
933,661,2,145.2281658,-37.8486344,145.241408440012,-38.45531225
933,321,1,145.24932,-37.808333,145.241408440012,-38.45531225
933,740,1,145.1730469,-38.1506663,145.241408440012,-38.45531225
933,128,1,145.927329,-38.172445,145.241408440012,-38.45531225
754,396,1,144.9789509,-37.8448389,144.938936,-37.776684
754,306,1,144.88738,-37.792388,144.938936,-37.776684
754,241,4,144.9587474,-37.7546374,144.938936,-37.776684
754,500,1,144.95710847477,-37.7982862,144.938936,-37.776684
754,133,16,144.956057,-37.799269,144.938936,-37.776684
754,188,8,144.947596,-37.778987,144.938936,-37.776684
754,319,7,144.9744689,-37.8076887,144.938936,-37.776684
557,881,1,145.050007,-38.225153,144.882873,-38.370837
557,742,1,145.220576,-37.977337,144.882873,-38.370837
557,466,77,145.1338638,-38.1536671,144.882873,-38.370837
557,229,1,145.1223061,-37.9200807,144.882873,-38.370837
557,187,3,145.1338638,-38.1536671,144.882873,-38.370837
557,740,4,145.1730469,-38.1506663,144.882873,-38.370837
557,960,93,144.885347,-38.3614811,144.882873,-38.370837
557,32,2,145.345522,-38.034203,144.882873,-38.370837
557,946,3,145.0414,-38.223747,144.882873,-38.370837
187,396,5,144.9789509,-37.8448389,145.025906,-37.789918
187,471,296,145.0585637,-37.7555989,145.025906,-37.789918
187,82,1,145.045488,-37.755479,145.025906,-37.789918
187,782,5,145.119799,-37.813761,145.025906,-37.789918
187,525,2,144.9940109,-37.8168201,145.025906,-37.789918
187,133,1,144.956057,-37.799269,145.025906,-37.789918
187,188,12,144.947596,-37.778987,145.025906,-37.789918
187,319,6,144.9744689,-37.8076887,145.025906,-37.789918
656,471,2,145.0585637,-37.7555989,145.152071,-37.753736
656,782,7,145.119799,-37.813761,145.152071,-37.753736
246,396,1,144.9789509,-37.8448389,144.911281,-37.705362
