site_name,pub_hosp_ind,current_peer_group,lat,long,cluster
West Wimmera Health Service [Rainbow],Public,Very small hospitals,-35.90364295,141.9950018,7
West Wimmera Health Service [Rupanyup],Public,Very small hospitals,-36.62114665,142.638768,7
Mallee Track - Ouyen,Public,Very small hospitals,-35.0742293,142.3126046,13
Latrobe Regional Hospital [Traralgon],Public,Public acute group A hospitals,-38.21952195,146.471782,4
Moyne Health Services [Port Fairy],Public,Public acute group D hospitals,-38.38097971,142.2275277,6
Portland District Health,Public,Public acute group C hospitals,-38.34092558,141.6051362,6
East Wimmera Health Service [St Arnaud],Public,Public acute group C hospitals,-36.6087135,143.2461778,7
Lorne Community Hospital,Public,Public acute group D hospitals,-38.5454422,143.9804248,9
Central Gippsland Health Service [Maffra],Public,Public acute group D hospitals,-37.960975,146.9837447,4
Maldon Hospital,Public,Very small hospitals,-36.992834,144.063668,2
Cranbourne Int Care Centre,Public,Mixed day procedure hospitals,-38.11293721,145.282204,11
Mansfield District Hospital,Public,Public acute group C hospitals,-37.0576258,146.0861109,10
Sunbury Day Hospital,Public,Mixed day procedure hospitals,-37.5766775,144.7326897,3
Broadmeadows Health Service,Public,Public acute group C hospitals,-37.68468774,144.9122892,3
Alexandra District Health,Public,Public acute group C hospitals,-37.19516675,145.7166907,5
Djerriwarrh Health Service [Bacchus Marsh],Public,Public acute group C hospitals,-37.67780567,144.4345456,3
Numurkah & District Health Service,Public,Public acute group D hospitals,-36.09985425,145.4432969,8
Grace McKellar Centre [Geelong],Public,Public rehabilitation hospitals,-38.12167335,144.3361889,9
Calvary Health Care Bethlehem,Public,Mixed sub- & non-acute hospitals,-37.89669111,145.0134593,1
Boort District Health,Public,Public acute group D hospitals,-36.1117788,143.7273499,2
South West Healthcare [Camperdown],Public,Public acute group C hospitals,-38.2373623,143.1381853,6
Queen Elizabeth Centre [Noble Park],Public,Early parenting centres,-37.97216795,145.1778855,11
Beaufort & Skipton Health Service [Beaufort],Public,Very small hospitals,-37.41528222,143.4169724,7
Robinvale District Health Services,Public,Public acute group D hospitals,-34.5841317,142.7814972,13
Manangatang & District Hospital,Public,Very small hospitals,-35.0511403,142.8808925,2
Rochester & Elmore District Health Service,Public,Public acute group D hospitals,-36.36672545,144.6975712,2
East Wimmera Health Service [Donald],Public,Public acute group D hospitals,-36.36661,142.9764019,7
Royal Talbot Rehabilitation Centre [Kew],Public,Public rehabilitation hospitals,-37.789659,145.0232113,3
Edenhope & District Hospital,Public,Public acute group D hospitals,-37.0353016,141.2891656,7
Healesville and District Hospital,Public,Public acute group C hospitals,-37.64680755,145.5291129,5
Terang & Mortlake Health Service [Terang],Public,Public acute group D hospitals,-38.2393865,142.9020584,6
Inglewood & District Health Service,Public,Public acute group D hospitals,-36.57209629,143.8740955,2
Kilmore District Health,Public,Public acute group C hospitals,-37.30215775,144.9584008,3
Yea & District Memorial Hospital,Public,Public acute group D hospitals,-37.2134424,145.430706,5
Casey Hospital,Public,Public acute group B hospitals,-38.04496465,145.347666,11
Craigieburn Health Service,Public,Mixed day procedure hospitals,-37.5956969,144.9196467,3
Melton Health,Public,Unpeered hospitals,-37.6874637,144.5582263,3
Yarra Ranges Health,Public,Mixed day procedure hospitals,-37.7565429,145.351376,5
Nathalia District Hospital,Public,Very small hospitals,-36.05486165,145.2047542,8
Benalla Health,Public,Public acute group C hospitals,-36.55516279,145.9950897,10
Golf Links Road Rehabilitation and PCU,Public,Mixed sub- & non-acute hospitals,-38.17320791,145.1505166,12
The Mornington Centre,Public,Public rehabilitation hospitals,-38.23015688,145.0411664,12
East Wimmera Health Service [Birchip],Public,Very small hospitals,-35.98027305,142.915865,7
East Wimmera Health Service [Charlton],Public,Very small hospitals,-36.26844455,143.3524943,2
Kyneton Health,Public,Public acute group C hospitals,-37.2547283,144.4701376,2
Daylesford Health,Public,Public acute group D hospitals,-37.33721252,144.1455518,7
Creswick Health,Public,Very small hospitals,-37.42380658,143.8946238,7
South Gippsland Hospital [Foster],Public,Public acute group C hospitals,-38.6591277,146.206412,4
Beechworth Health Service,Public,Public acute group D hospitals,-36.3490283,146.6916113,10
Castlemaine Health,Public,Public acute group C hospitals,-37.0525494,144.2122479,2
Orbost Regional Health,Public,Public acute group C hospitals,-37.70209765,148.4654222,4
Royal Dental Hospital [Melbourne],Public,Unpeered hospitals,-37.79944525,144.9647617,3
Cobram District Health,Public,Public acute group D hospitals,-35.915853,145.6513531,8
Epping Private Hospital,Private,Private acute group C hospitals,-37.6495386,145.0092467,3
La Trobe Private Hospital,Private,Private acute group D hospitals,-37.71596445,145.0447695,3
St John of God Bendigo Hospital,Private,Private acute group B hospitals,-36.7617702,144.2635489,2
Ballan & District Soldiers Memorial Bush Nursing Hospital & Hostel Inc.,Private,Unpeered hospitals,-37.59955817,144.2225888,7
St John of God Berwick Hospital,Private,Private acute group C hospitals,-38.04568515,145.3448091,11
St John of God Berwick Day Oncology Centre,Private,Haematology & oncology clinics,-38.04490242,145.3449741,11
St John of God Warrnambool Hospital,Private,Private acute group D hospitals,-38.3714579,142.4791674,6
Hampton Park Womens Health Centre,Private,Women's hospitals,-38.03140195,145.2689607,11
Chelsea Heights Day Procedure Centre,Private,Endoscopy centres,-38.03362236,145.1349634,11
Dr Scope,Private,Endoscopy centres,-37.77755293,144.8324066,3
Euroa Health Inc,Private,Private acute group D hospitals,-36.75926024,145.5707159,8
Essendon Day Procedure Centre,Private,Oral & maxillofacial surgery centres,-37.76555701,144.923728,3
"Valley Private Hospital, The [Mulgrave]",Private,Private acute group A hospitals,-37.93842875,145.2127073,11
"Avenue Private Hospital, The [Windsor]",Private,Private acute group C hospitals,-37.8547623,144.9986206,1
Brunswick Private Hospital,Private,Private rehabilitation hospitals,-37.7568145,144.9717135,3
The Victoria Clinic,Private,Private acute psychiatric hospitals,-37.84743899,144.9974684,14
Berwick Surgicentre,Private,Eye surgery centres,-38.03344151,145.3469925,11
Toorak Cosmetic Surgery Day Centre,Private,Mixed day procedure hospitals,-37.84123539,145.0080934,3
"Bays Hospital, The [Mornington]",Private,Private acute group C hospitals,-38.22362814,145.0422198,12
"Bays Hospital, The [Hastings]",Private,Unpeered hospitals,-38.29657117,145.1918735,11
Essendon Private Hospital Victoria,Private,Private acute group D hospitals,-37.7485656,144.8853991,3
Melbourne Endoscopy Monash Day Hospital [Clayton],Private,Endoscopy centres,-37.92124419,145.1201834,11
Monash Surgical Private Hospital [Clayton],Private,Gynaecology day hospitals,-37.9215323,145.1193962,1
Nagambie Hospital Inc.,Private,Very small hospitals,-36.78070049,145.1505552,8
Neerim District Soldiers Memorial Hospital Inc.,Private,Unpeered hospitals,-38.02237822,145.9540786,4
Monash House Private Hospital,Private,Private acute group B hospitals,-37.92062267,145.1201838,1
Vermont Private Hospital,Private,Private acute group A hospitals,-37.85819315,145.1996379,5
